,metal,ox,ligstr,complex.size,spin,geom
656,fe,3.0,ncs_ncs_benzisc_benzisc,39.0,6.0,tetrahedral
657,fe,3.0,ncs_ncs_cyanopyridine_cyanopyridine,31.0,6.0,tetrahedral
658,fe,3.0,ncs_ncs_formaldehyde_formaldehyde,15.0,6.0,tetrahedral
659,fe,3.0,ncs_ncs_methylamine_methylamine,21.0,6.0,tetrahedral
660,fe,3.0,ncs_ncs_pyridine_pyridine,29.0,6.0,tetrahedral
661,fe,3.0,ncs_ncs_thiopyridine_thiopyridine,31.0,6.0,tetrahedral
662,fe,3.0,ncs_ncs_ncs_acetonitrile,16.0,6.0,tetrahedral
663,fe,3.0,ncs_ncs_ncs_ammonia,14.0,6.0,tetrahedral
664,fe,3.0,ncs_ncs_ncs_benzisc,26.0,6.0,tetrahedral
665,fe,3.0,ncs_ncs_ncs_cyanopyridine,22.0,6.0,tetrahedral
666,fe,3.0,ncs_ncs_ncs_formaldehyde,14.0,6.0,tetrahedral
667,fe,3.0,ncs_ncs_ncs_methylamine,17.0,6.0,tetrahedral
668,fe,3.0,ncs_ncs_ncs_pyridine,21.0,6.0,tetrahedral
669,fe,3.0,ncs_ncs_ncs_thiopyridine,22.0,6.0,tetrahedral
670,fe,3.0,scn_formaldehyde_formaldehyde_formaldehyde,16.0,6.0,tetrahedral
671,fe,3.0,scn_ncs_ncs_ncs,13.0,6.0,tetrahedral
672,fe,3.0,scn_scn_formaldehyde_formaldehyde,15.0,6.0,tetrahedral
673,fe,3.0,scn_scn_ncs_ncs,13.0,6.0,tetrahedral
674,fe,3.0,scn_scn_scn_formaldehyde,14.0,6.0,tetrahedral
675,fe,3.0,scn_scn_scn_ncs,13.0,6.0,tetrahedral
676,mn,2.0,ncs_cyanate_cyanate_cyanate,13.0,6.0,tetrahedral
677,mn,2.0,ncs_furan_furan_furan,31.0,6.0,tetrahedral
678,mn,2.0,ncs_ncs_cyanate_cyanate,13.0,6.0,tetrahedral
679,mn,2.0,ncs_ncs_hydroxyl_hydroxyl,11.0,6.0,tetrahedral
680,mn,2.0,ncs_ncs_pph3_pph3,75.0,6.0,tetrahedral
681,mn,2.0,ncs_ncs_thiopyridine_thiopyridine,31.0,6.0,tetrahedral
682,mn,2.0,ncs_ncs_ncs_furan,19.0,6.0,tetrahedral
683,mn,2.0,ncs_ncs_ncs_hydroxyl,12.0,6.0,tetrahedral
684,mn,3.0,cyanopyridine_formaldehyde_formaldehyde_formaldehyde,25.0,5.0,tetrahedral
685,mn,3.0,cyanopyridine_cyanopyridine_formaldehyde_formaldehyde,33.0,5.0,tetrahedral
686,mn,3.0,cyanopyridine_cyanopyridine_cyanopyridine_formaldehyde,41.0,5.0,tetrahedral
687,mn,3.0,formaldehyde_pyridine_pyridine_pyridine,38.0,5.0,tetrahedral
688,mn,3.0,formaldehyde_thiopyridine_thiopyridine_thiopyridine,41.0,5.0,tetrahedral
689,mn,3.0,formaldehyde_formaldehyde_pyridine_pyridine,31.0,5.0,tetrahedral
690,mn,3.0,formaldehyde_formaldehyde_thiopyridine_thiopyridine,33.0,5.0,tetrahedral
691,mn,3.0,formaldehyde_formaldehyde_formaldehyde_pyridine,24.0,5.0,tetrahedral
692,mn,3.0,formaldehyde_formaldehyde_formaldehyde_thiopyridine,25.0,5.0,tetrahedral
693,co,2.0,acetonitrile_acetonitrile_ammonia_ammonia,21.0,4.0,tetrahedral
694,co,2.0,acetonitrile_acetonitrile_acetonitrile_ammonia,23.0,4.0,tetrahedral
695,co,2.0,cn_ammonia_ammonia_ammonia,15.0,4.0,tetrahedral
696,co,2.0,cn_cn_cn_ammonia,11.0,4.0,tetrahedral
697,co,2.0,scn_ammonia_ammonia_ammonia,16.0,4.0,tetrahedral
698,co,2.0,scn_scn_ammonia_ammonia,15.0,4.0,tetrahedral
699,co,2.0,scn_scn_scn_ammonia,14.0,4.0,tetrahedral
700,cr,3.0,cyanopyridine_cyanopyridine_pyridine_pyridine,47.0,4.0,tetrahedral
701,cr,3.0,cyanopyridine_cyanopyridine_cyanopyridine_pyridine,48.0,4.0,tetrahedral
702,cr,3.0,pyridine_hydroxyl_hydroxyl_hydroxyl,18.0,4.0,tetrahedral
703,cr,3.0,pyridine_thiopyridine_thiopyridine_thiopyridine,48.0,4.0,tetrahedral
704,cr,3.0,pyridine_pyridine_hydrogensulfide_hydrogensulfide,29.0,4.0,tetrahedral
705,cr,3.0,pyridine_pyridine_pyridine_thiopyridine,46.0,4.0,tetrahedral
706,cr,3.0,scn_pyridine_pyridine_pyridine,37.0,4.0,tetrahedral
707,cr,3.0,scn_scn_pyridine_pyridine,29.0,4.0,tetrahedral
708,fe,2.0,cyanate_furan_furan_furan,31.0,5.0,tetrahedral
709,fe,2.0,cyanate_hydrogensulfide_hydrogensulfide_hydrogensulfide,13.0,5.0,tetrahedral
710,fe,2.0,cyanate_cyanate_pyridine_pyridine,29.0,5.0,tetrahedral
711,fe,2.0,cyanate_cyanate_cyanate_furan,19.0,5.0,tetrahedral
712,fe,2.0,cyanate_cyanate_cyanate_pyridine,21.0,5.0,tetrahedral
713,fe,2.0,furan_pyridine_pyridine_pyridine,43.0,5.0,tetrahedral
714,fe,2.0,furan_furan_pyridine_pyridine,41.0,5.0,tetrahedral
715,fe,2.0,furan_furan_furan_pyridine,39.0,5.0,tetrahedral
716,fe,2.0,pyridine_hydrogensulfide_hydrogensulfide_hydrogensulfide,21.0,5.0,tetrahedral
717,fe,2.0,scn_cyanate_cyanate_cyanate,13.0,5.0,tetrahedral
718,fe,2.0,scn_pyridine_pyridine_pyridine,37.0,5.0,tetrahedral
719,fe,2.0,scn_scn_cyanate_cyanate,13.0,5.0,tetrahedral
720,fe,2.0,scn_scn_pyridine_pyridine,29.0,5.0,tetrahedral
721,fe,2.0,scn_scn_scn_cyanate,13.0,5.0,tetrahedral
722,fe,2.0,scn_scn_scn_pyridine,21.0,5.0,tetrahedral
723,fe,3.0,acetonitrile_ammonia_ammonia_ammonia,19.0,6.0,tetrahedral
724,fe,3.0,acetonitrile_pyridine_pyridine_pyridine,40.0,6.0,tetrahedral
